AV 13 DE ABRIL	Avenida 13 de Abril
CL ATAN	Calle Atan
CL FORASTEROS	Calle Forasteros
CL INSUA	Calle Insua
CL LAGO	Calle Lago
CL MAZARICOS ARRIBA	Calle Mazaricos Arriba
CL OUTEIRO	Calle Outeiro
CL PICARAÑA	Calle Picaraña
CL PICOTA	Calle Picota
CL PIDRE	Calle Pidre
CL PRESA	Calle Presa
CL SERRANS	Calle Serrans
CL VENTIN	Calle Ventin
LG ABELEIRAS	Lugar Abeleiras
LG ABELEIROAS	Lugar Abeleiroas
LG AGAR	Lugar Agar
LG AGRIS	Lugar Agris
LG ALBORES ABAIXO	Lugar Albores Abaixo
LG ALBORES ARRIBA	Lugar Albores Arriba
LG ANTES	Lugar Antes
LG ARCOS	Lugar Arcos
LG ARGUEIRON	Lugar Argueiron
LG ASENSO	Lugar Asenso
LG BEBA	Lugar Beba
LG BO XESUS	Lugar Bo Xesus
LG BOUZAS	Lugar Bouzas
LG BUSTO	Lugar Busto
LG CABANUDE	Lugar Cabanude
LG CACHEIROS	Lugar Cacheiros
LG CAMPELO	Lugar Campelo
LG CASAIS	Lugar Casais
LG CASTRELO	Lugar Castrelo
LG CASTRO	Lugar Castro
LG CHACIN	Lugar Chacin
LG CHOUPANA	Lugar Choupana
LG CIVES ABAIXO	Lugar Cives Abaixo
LG CIVES ARRIBA	Lugar Cives Arriba
LG COIRO	Lugar Coiro
LG COLUNS	Lugar Coluns
LG CORNES	Lugar Cornes
LG CORRUBEDO	Lugar Corrubedo
LG CORVEIRA	Lugar Corveira
LG CORZON	Lugar Corzon
LG COVACHO	Lugar Covacho
LG CUIÑA	Lugar Cuiña
LG CURRA	Lugar Curra
LG EIRON	Lugar Eiron
LG ENXILDE	Lugar Enxilde
LG ESPIGAS	Lugar Espigas
LG FIEIRO	Lugar Fieiro
LG FIGUEIRA	Lugar Figueira
LG FIRVADO	Lugar Firvado
LG FONTAN	Lugar Fontan
LG FONTEMOURENTE	Lugar Fontemourente
LG FORNIS	Lugar Fornis
LG FOXAS ABAIXO	Lugar Foxas Abaixo
LG FOXAS ARRIBA	Lugar Foxas Arriba
LG FURIÑO	Lugar Furiño
LG GANDARA	Lugar Gandara
LG GODON	Lugar Godon
LG GOSENDE	Lugar Gosende
LG GOSOLFRE	Lugar Gosolfre
LG GRILLE	Lugar Grille
LG GUEIMA	Lugar Gueima
LG LAMASAPIN	Lugar Lamasapin
LG LIÑAIS	Lugar Liñais
LG LIÑARES	Lugar Liñares
LG LUGARIÑO	Lugar Lugariño
LG LUGARNOVO	Lugar Lugarnovo
LG MAMOAS	Lugar Mamoas
LG MANDA	Lugar Manda
LG MAROÑAS	Lugar Maroñas
LG MOLLON	Lugar Mollon
LG MONTEAGUDO	Lugar Monteagudo
LG MONTELLOS	Lugar Montellos
LG MUNDIN	Lugar Mundin
LG NIÑAN	Lugar Niñan
LG NOVEIRA	Lugar Noveira
LG OUTEIRO	Lugar Outeiro
LG OUTEIRO BOIS	Lugar Outeiro Bois
LG OUTEIROS	Lugar Outeiros
LG PAXAREIRAS	Lugar Paxareiras
LG PAZOS	Lugar Pazos
LG PINO VAL	Lugar Pino Val
LG PONTENOVA	Lugar Pontenova
LG PUENTE OLVEIRA	Lugar Puente Olveira
LG QUINTANS	Lugar Quintans
LG REBOREDO	Lugar Reboredo
LG RECAREA	Lugar Recarea
LG RIBADEZA	Lugar Ribadeza
LG RIBEIRATORTA	Lugar Ribeiratorta
LG SAN CRISTOVO	Lugar San Cristovo
LG SANDE	Lugar Sande
LG SANTA BAIA	Lugar Santa Baia
LG SANTA MARIÑA	Lugar Santa Mariña
LG SEAN	Lugar Sean
LG SEÑORIO	Lugar Señorio
LG SUEVOS	Lugar Suevos
LG VAL	Lugar Val
LG VILAFERREIROS	Lugar Vilaferreiros
LG VILAR	Lugar Vilar
LG VILAR CASTRO	Lugar Vilar Castro
LG VILAR COLUNS	Lugar Vilar Coluns
LG VILAR COSTA	Lugar Vilar Costa
LG VILAR DE COIRO	Lugar Vilar de Coiro
LG VILARCOVO	Lugar Vilarcovo
LG VILARIÑO CHACIN	Lugar Vilariño Chacin
LG VILARIÑO DE BEBA	Lugar Vilariño de Beba
LG VIOXO	Lugar Vioxo
LG XESTO	Lugar Xesto
LG XESTOSO	Lugar Xestoso
LG XIAN	Lugar Xian
LG XINZO	Lugar Xinzo
LG XUNQUEIRA	Lugar Xunqueira
LG ZANFOGA	Lugar Zanfoga
PQ COLUNS	Parroquia/Parque Coluns
PQ MAZARICOS	Parroquia/Parque Mazaricos
RD PROGRESO	Ronda Progreso
RU BATAN	Rúa Batan
RU CHANCA	Rúa Chanca
RU DOLORES GONZALEZ JURJO	Rúa Dolores González Jurjo
RU EMIGRANTE	Rúa Emigrante
RU FONTELAGOA	Rúa Fontelagoa
RU GARCIA LEMA	Rúa Garcia Lema
