LG PONTE SARELA	A Ponte Sarela
LG XESTEIRA	A Xesteira
LG AGUALADA	Agualada
RU ALTA VISTA	Altavista
LG MOAS ARRIBA	As Moas de Arriba
AV AEROPORTO	Avenida Aeroporto
AV ANTONIO FRAGUAS	Avenida Antonio Fraguas
AV ANTONIO RAIMUNDO IBAÑEZ	Avenida Antonio Raimundo Ibañez
AV CASAS COMPOSTELA	Avenida Casas Compostela
AV DR ANGEL JORGE ECHEVARRI	Avenida Dr Angel Jorge Echevarri
AV MANUEL FRAGA IRIBARNE	Avenida Manuel Fraga Iribarne
AV MESTRE MATEO	Avenida Mestre Mateo
AV ROSALIA CASTRO	Avenida Rosalía de Castro
AV XOAN XXIII	Avenida Xoan XXIII
AV CORUÑA	Avenida da Coruña
AV LIBERDADE	Avenida da Liberdade
AV MESTRA VICTORIA MIGUEZ	Avenida da Mestra Victoria Míguez
AV BURGAS	Avenida das Burgas
AV CIENCIAS	Avenida das Ciencias
AV BARCELONA	Avenida de Barcelona
AV BILBAO	Avenida de Bilbao
AV CASTELAO	Avenida de Castelao
AV COIMBRA	Avenida de Coimbra
AV FERNANDO CASAS NOVOA	Avenida de Fernando de Casas Novoa
AV FERROL	Avenida de Ferrol
AV FIGUEROA	Avenida de Figueroa
AV XOSE FILGUEIRA VALVERDE	Avenida de Filgueira Valverde
AV GONZALO TORRENTE BALLESTE	Avenida de Gonzalo Torrente Ballester
AV LUGO	Avenida de Lugo
AV MONTEVIDEO	Avenida de Montevideo
AV NOVOA SANTOS	Avenida de Novoa Santos
AV PONTEVEDRA	Avenida de Pontevedra
AV QUIROGA PALACIOS	Avenida de Quiroga Palacios
AV RAXOI	Avenida de Raxoi
AV RODRIGO PADRON	Avenida de Rodrigo de Padrón
AV RODRIGUEZ VIGURI	Avenida de Rodríguez de Viguri
AV ROMERO DONALLO	Avenida de Romero Donallo
AV SALAMANCA	Avenida de Salamanca
AV SAN MARCOS	Avenida de San Marcos
AV SYRA ALONSO	Avenida de Syra Alonso
AV VIGO	Avenida de Vigo
AV DE VILAGARCIA	Avenida de Vilagarcía
AV DE XOAN PAULO II	Avenida de Xoán Paulo II
AV BURGO NACIONS	Avenida do Burgo das Nacións
AV CAMIÑO FRANCES	Avenida do Camiño Francés
PQ DO CRUCEIRO DA CORUÑA	Avenida do Cruceiro da Coruña
AV DO CRUCEIRO DA CORUÑA	Avenida do Cruceiro da Coruña
BO SANTO IGNACIO LOYOLA	Barrio Santo Ignacio Loyola
BO PONTE SANTO DOMINGO	Barrio da ponte de San Domingos
LG BORNAIS	Bornais
RU CALZADA CANCELAS	Calzada das Cancelas
RU CALZADA SAN PEDRO	Calzada de San Pedro
RU CALZADA SANTO ANTONIO	Calzada de Santo Antonio
RU CALZADA SAR	Calzada de Sar
RU CALZADA TORRENTE	Calzada de Torrente
RU CALZADA COMBARRO	Calzada do Combarro
CM SALES	Camino de Sales
CM REAL ANGROIS	Camiño Real de Angrois
CM REAL PIÑEIRO	Camiño Real de Piñeiro
CM REAL VIDAN	Camiño Real de Vidán
LG AMARELLE	Camiño a Amarelle
CM AMEIXAGA	Camiño da Ameixaga
CM LERMO	Camiño de Lermo
CM CHAN CURROS	Camiño do Chan de Curros
CM VILARES	Camiño dos Vilares
RU VILARES	Camiño dos Vilares
RU CANTON SAN BIEITO	Cantón de San Bieito
RU CANTON TOURAL	Cantón do Toural
LG CARBALLAL	Carballal
RU CARREIRO PICAÑOS	Carreiro de Picaños
CR AUTOPISTA	Carretera/Carrera Autopista
CR CORREDOIRA ESPIÑO	Carretera/Carrera Corredoira Espiño
BO CORNES	Cornes
RU CORREDOIRA DA CASA VELLA	Corredoira da Casa Vella
RU CATADOIRO	Corredoira do Catadoiro
RU CORREDOIRA DOS MUIÑOS	Corredoira dos Muíños
CT NOVA ABAIXO	Costa Nova de Abaixo
CT NOVA DE ARRIBA	Costa Nova de Arriba
CT VELLA	Costa Vella
CT SAN DOMINGOS	Costa de San Domingos
CT SAN MARCOS	Costa de San Marcos
CT SANTA ISABEL	Costa de Santa Isabel
CT CANO	Costa do Cano
CT SISTO	Costa do Sisto
CT VEDOR	Costa do Vedor
CT VIEIRO	Costa do Vieiro
CT VISO	Costa do Viso
CT RIO	Cuesta/Costanilla Rio
LG CURUXEIRA	Curuxeira
RU ENTREMURALLAS	Entremurallas
RU ESCALINATA DO CEBREIRO	Escalinata do cebreiro
LG ZARAMACEDO	Estrada Bando - Zaramacedo
LG POUSADA CESAR	Estrada a Pousada
LG POUSADA BANDO	Estrada a Pousada
LG REBOREDO	Estrada a Reboredo
LG BANDO ARRIBA	Estrada de Bando de Arriba
CR SAN LOURENZO	Estrada de San Lourenzo
MT PEDROSO	Estrada do Pedroso
LG GARABAL	Garabal
JR MANUEL FEIXOO (DE)	Jardines Manuel Feixoo (de)
JR XOSE MOSQUERA PEREZ	Jardines Xose Mosquera Perez
LG ROCHA NOVA	Lugar A Rocha Nova
LG ABETOS	Lugar Abetos
LG AGRA CAMPOS	Lugar Agra Campos
LG ALBARDE	Lugar Albarde
LG ALBEANAS	Lugar Albeanas
LG ALBUDIÑO	Lugar Albudiño
LG ALDEA ABAIXO	Lugar Aldea Abaixo
LG ALDREI	Lugar Aldrei
LG AMAÑECIDA	Lugar Amañecida
LG ANDRADE	Lugar Andrade
LG ARADAS	Lugar Aradas
LG ARAMIO	Lugar Aramio
LG ARDAGAN	Lugar Ardagan
LG BALSOMA	Lugar Balsoma
LG BANDO ABAIXO	Lugar Bando Abaixo
LG BAR ABAIXO	Lugar Bar Abaixo
LG BAR ARRIBA	Lugar Bar Arriba
LG BARCAVELLA	Lugar Barcavella
LG BARCIA	Lugar Barcia
LG BARCIELA	Lugar Barciela
LG BARGO	Lugar Bargo
LG BARRAL	Lugar Barral
LG BARREIRO	Lugar Barreiro
LG BELEN	Lugar Belen
LG BENAVENTE	Lugar Benavente
LG CACHARELA	Lugar Cacharela
LG CALUBA	Lugar Caluba
LG CAMOUZO	Lugar Camouzo
LG CANDELABEIRA	Lugar Candelabeira
LG CARLEXO	Lugar Carlexo
LG CASAIS	Lugar Casais
LG CASAL CESAR	Lugar Casal Cesar
LG CASANOVA	Lugar Casanova
LG CASAS MONTE	Lugar Casas Monte
LG CASTIÑEIRA GRANDE	Lugar Castiñeira Grande
LG CASTIÑEIRA PEQUENA	Lugar Castiñeira Pequena
LG CASTRO BANDO	Lugar Castro Bando
LG CASTRO BUSTO	Lugar Castro Busto
LG CASTRO CESAR	Lugar Castro Cesar
LG CAÑOTEIRA MARROZOS	Lugar Cañoteira Marrozos
LG CHORENTE	Lugar Chorente
LG CODESEDAS	Lugar Codesedas
LG CORREXINS	Lugar Correxins
LG CORTOS	Lugar Cortos
LG COSTA ARINS	Lugar Costa Arins
LG COVA (A)	Lugar Cova (A)
LG CURRAIS	Lugar Currais
LG DEVESA	Lugar Devesa
LG DIANS	Lugar Dians
